Wavelength,Intensity,Absorbance,Reflectance
1423.837490447363,5987,1.5785908,0.026388166
1426.0436676030195,8147,1.4439708,0.035977356
1427.1460311957862,7014,1.5085422,0.031006861
1428.2479114651787,4956,1.6589156,0.02193231
1429.349308411197,6416,1.546321,0.028423589
1430.450222033841,8210,1.4387938,0.03640879
1431.550652333111,5528,1.6101199,0.024540313
1433.7500629615279,7405,1.482277,0.032939952
1434.8490432906751,6797,1.5190461,0.030265924
1435.9475402964479,5923,1.5783824,0.02640083
1437.0455539788466,7198,1.4936522,0.032088373
1438.143084337871,2758,1.9102099,0.012296745
1439.240131373521,5305,1.6260606,0.023655895
1440.3366950857971,8972,1.3979574,0.039998394
1442.5283725402264,5725,1.5932726,0.025511
1443.6234862823794,8178,1.4384899,0.03643427
1444.7181167011586,7351,1.4848796,0.032743145
1445.8122637965635,5746,1.5919513,0.025588728
1446.9059275685938,5507,1.6103052,0.024529848
1447.9991080172501,4205,1.7273556,0.0187346
1450.1840189444401,5974,1.5748022,0.026619375
1451.2757494229736,8210,1.4367648,0.03657928
1452.366996578133,5296,1.6272026,0.023593774
1453.4577604099181,3887,1.7615244,0.017317116
1454.548040918329,5698,1.5954049,0.025386048
1455.6378381033658,8172,1.4387603,0.036411595
1457.8159825033163,3920,1.7575296,0.01747714
1458.9043297182302,6709,1.523974,0.029924441
1459.9921936097699,6359,1.5470569,0.028375471
1461.0795741779355,5895,1.5797235,0.026319431
1462.1664714227268,5211,1.6330457,0.023278462
1463.2528853441436,8930,1.3988767,0.039913826
1464.3388159421866,7524,1.4730327,0.03364862
1466.5092271681492,4992,1.6507133,0.022350471
1467.5937077960693,4951,1.653943,0.022184882
1468.6777051006152,4385,1.7063138,0.019664647
1469.7612190817867,5750,1.5882629,0.025806973
1470.844249739584,7497,1.472425,0.033695746
1471.9267970740073,7586,1.4665298,0.034156248
1474.0904417727309,4772,1.6661829,0.021568362
1475.1715391370312,5952,1.5693302,0.026956888
1476.2521531779573,7249,1.482825,0.03289841
1477.3322838955094,7743,1.4532547,0.035216425
1478.4119312896871,5566,1.5956795,0.025369998
